date,home_team,away_team,venue,city,status,score,actual,pred_home_%,pred_draw_%,pred_away_%
2026-06-11,Mexico,South Africa,Estadio Azteca,Mexico City,Played,2 - 0,Mexico win,,,
2026-06-11,South Korea,Czech Republic,Estadio Akron,Zapopan,Played,2 - 1,South Korea win,,,
2026-06-12,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Played,1 - 1,Draw,,,
2026-06-12,United States,Paraguay,SoFi Stadium,Inglewood,Played,4 - 1,United States win,,,
2026-06-13,Qatar,Switzerland,Levi's Stadium,Santa Clara,Played,1 - 1,Draw,,,
2026-06-13,Brazil,Morocco,MetLife Stadium,East Rutherford,Played,1 - 1,Draw,,,
2026-06-13,Haiti,Scotland,Gillette Stadium,Foxborough,Played,0 - 1,Scotland win,,,
2026-06-13,Australia,Turkey,BC Place,Vancouver,Played,2 - 0,Australia win,,,
2026-06-14,Sweden,Tunisia,Estadio BBVA,Guadalupe,Played,5 - 1,Sweden win,,,
2026-06-14,Netherlands,Japan,AT&T Stadium,Arlington,Played,2 - 2,Draw,,,
2026-06-14,Germany,Curaçao,NRG Stadium,Houston,Played,7 - 1,Germany win,,,
2026-06-14,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,Played,1 - 0,Ivory Coast win,,,
2026-06-15,Belgium,Egypt,Lumen Field,Seattle,Played,1 - 1,Draw,,,
2026-06-15,Iran,New Zealand,SoFi Stadium,Inglewood,Played,2 - 2,Draw,,,
2026-06-15,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,Played,0 - 0,Draw,,,
2026-06-15,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami Gardens,Played,1 - 1,Draw,,,
2026-06-16,Austria,Jordan,Levi's Stadium,Santa Clara,Upcoming,-,-,77.5,12.7,9.7
2026-06-16,Argentina,Algeria,Arrowhead Stadium,Kansas City,Upcoming,-,-,61.2,25.3,13.4
2026-06-16,France,Senegal,MetLife Stadium,East Rutherford,Upcoming,-,-,86.9,6.8,6.3
2026-06-16,Iraq,Norway,Gillette Stadium,Foxborough,Upcoming,-,-,13.7,8.2,78.1
2026-06-17,Portugal,DR Congo,NRG Stadium,Houston,Upcoming,-,-,83.7,11.8,4.6
2026-06-17,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Upcoming,-,-,24.0,12.3,63.7
2026-06-17,England,Croatia,AT&T Stadium,Arlington,Upcoming,-,-,69.4,10.3,20.3
2026-06-17,Ghana,Panama,BMO Field,Toronto,Upcoming,-,-,28.7,16.7,54.6
2026-06-18,Czech Republic,South Africa,Mercedes-Benz Stadium,Atlanta,Upcoming,-,-,47.6,31.4,21.0
2026-06-18,Mexico,South Korea,Estadio Akron,Zapopan,Upcoming,-,-,79.2,11.4,9.4
2026-06-18,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood,Upcoming,-,-,88.3,6.7,5.0
2026-06-18,Canada,Qatar,BC Place,Vancouver,Upcoming,-,-,60.7,31.3,8.0
2026-06-19,Turkey,Paraguay,Levi's Stadium,Santa Clara,Upcoming,-,-,80.6,7.2,12.2
2026-06-19,Scotland,Morocco,Gillette Stadium,Foxborough,Upcoming,-,-,12.2,23.4,64.4
2026-06-19,Brazil,Haiti,Lincoln Financial Field,Philadelphia,Upcoming,-,-,80.0,12.5,7.5
2026-06-19,United States,Australia,Lumen Field,Seattle,Upcoming,-,-,38.3,28.3,33.3
2026-06-20,Netherlands,Sweden,NRG Stadium,Houston,Upcoming,-,-,85.9,8.1,6.0
2026-06-20,Tunisia,Japan,Estadio BBVA,Guadalupe,Upcoming,-,-,14.2,9.3,76.6
